scenario,description,seed,delivered_packages,pending_packages,average_delivery_time,average_waiting_time,total_cost,total_income,gross_profit,moto_distance,furgoneta_distance,moto_trips,furgoneta_trips
A1,Alta demanda con flota de motos,,181,65,2.0277984865126326,1.4747321856993874,2888143.4997000373,8330000.0,5441856.500299962,3926.707184650417,0.0,181,0
A1,Alta demanda con flota de motos,,175,23,1.1704429460206636,0.5923494831812862,2967531.146367536,8250000.0,5282468.853632464,4093.2325693912526,0.0,175,0
A1,Alta demanda con flota de motos,,174,5,0.7478312468042944,0.21896765392011217,2780298.6547908452,7620000.0,4839701.345209155,3700.489315187212,0.0,174,0
A1,Alta demanda con flota de motos,,181,17,0.8977958418574099,0.3436962068099179,2894894.9803257673,8280000.0,5385105.019674232,3940.86924834628,0.0,181,0
A1,Alta demanda con flota de motos,,177,17,1.5420189309677337,0.9831757184292123,2843984.4977694284,8160000.0,5316015.502230572,3834.078229202665,0.0,177,0
A1,Alta demanda con flota de motos,,183,23,1.485361383863959,0.9364751819519753,2896489.0224592164,7840000.0,4943510.977540784,3944.2129484143493,0.0,183,0
A1,Alta demanda con flota de motos,,164,31,1.3632180339413038,0.7580190714919258,2820792.1822809665,7570000.0,4749207.817719033,3785.4294857032746,0.0,164,0
A1,Alta demanda con flota de motos,,179,40,1.7125734826206567,1.1587030948630763,2867923.248462711,7920000.0,5052076.7515372895,3884.2927126488107,0.0,179,0
A1,Alta demanda con flota de motos,,182,18,1.469557476682887,0.9253866803451554,2888002.2468010723,8360000.0,5471997.753198927,3926.4108892652634,0.0,182,0
A1,Alta demanda con flota de motos,,176,34,0.977598215035161,0.41366420367491247,2862410.6907070875,7330000.0,4467589.3092929125,3872.729442547027,0.0,176,0
A1,Alta demanda con flota de motos,,184,22,1.8244736722995487,1.2812281885961605,2863002.3519184547,8220000.0,5356997.648081545,3873.970524944543,0.0,184,0
A1,Alta demanda con flota de motos,,182,36,1.4756577403020077,0.9295753017875623,2860273.410671562,8660000.0,5799726.589328438,3868.246233947767,0.0,182,0
A1,Alta demanda con flota de motos,,182,25,1.1304069146632538,0.5638607841952417,2960332.6519810874,7860000.0,4899667.348018913,4078.1328391740485,0.0,182,0
A1,Alta demanda con flota de motos,,177,31,1.1509941488362114,0.5735252536884701,2947706.534525669,7860000.0,4912293.465474331,4051.6479998406367,0.0,177,0
A1,Alta demanda con flota de motos,,179,57,1.5539635867072918,1.0034259339341016,2845873.17132752,8320000.0,5474126.82867248,3838.0399550392817,0.0,179,0
A1,Alta demanda con flota de motos,,173,23,1.0510870632367222,0.5132707269780835,2747665.382009129,7640000.0,4892334.617990871,3632.0369988200596,0.0,173,0
A1,Alta demanda con flota de motos,,191,25,1.1792591010136044,0.6487097331248501,2895342.593529081,7980000.0,5084657.406470919,3941.80817227243,0.0,191,0
A1,Alta demanda con flota de motos,,191,47,1.7640351588762821,1.2396012399471967,2906707.959476302,8130000.0,5223292.040523699,3965.64842974988,0.0,191,0
A1,Alta demanda con flota de motos,,177,13,0.7657943290586078,0.22560474157911933,2817359.08272019,7960000.0,5142640.91727981,3778.228135755137,0.0,177,0
A1,Alta demanda con flota de motos,,178,22,1.2517875673447192,0.6856702556442245,2838988.425597207,7540000.0,4701011.574402792,3823.5983513426077,0.0,178,0
A1,Alta demanda con flota de motos,,179,38,1.65652715651175,1.1015037350365318,2855807.152343063,8370000.0,5514192.847656937,3858.8777060000784,0.0,179,0
A1,Alta demanda con flota de motos,,184,20,0.9921091384101177,0.44695731003865086,2975467.8444175795,8220000.0,5244532.1555824205,4109.880772881789,0.0,184,0
A1,Alta demanda con flota de motos,,167,15,1.5829826567464909,1.0043416577552569,2833824.7085636454,7610000.0,4776175.291436355,3812.7668176997486,0.0,167,0
A1,Alta demanda con flota de motos,,181,32,1.1574110419388712,0.6116100257777457,2896985.299463115,8380000.0,5483014.700536884,3945.2539506669823,0.0,181,0
A1,Alta demanda con flota de motos,,184,9,0.7814441751855989,0.2648236938302414,2835028.3428631667,8470000.0,5634971.657136833,3815.2915891626767,0.0,184,0
A1,Alta demanda con flota de motos,,176,15,1.372324095448369,0.7938552597660078,2921315.5117164725,7880000.0,4958684.488283528,3996.289573038887,0.0,176,0
